Authors	Record Count	
Fiore L	428	
Flacher H	428	
Flix J	428	
Florent A	428	
Focardi E	428	
Folgueras S	428	
Ford WT	428	
Foudas C	428	
Franzoni G	428	
Gallinaro M	428	
Geiser A	428	
Giammanco A	428	
Gigi D	428	
Gill K	428	
Glege F	428	
Gninenko S	428	
Go Y	428	
Godinovic N	428	
Goerlach U	428	
Goldouzian R	428	
Golf F	428	
Golutvin I	428	
Grab C	428	
Grebenyuk A	428	
Gritsan AV	428	
Grunewald M	428	
Guchait M	428	
Guiducci L	428	
Gutay L	428	
Hadley NJ	428	
Hagopian V	428	
Hajdu C	428	
Hakala J	428	
Halkiadakis E	428	
Hall G	428	
Hanson G	428	
Hartmann F	428	
Hegde V	428	
Heindl M	428	
Henderson C	428	
Hildreth M	428	
Hinzmann A	428	
Hofman DJ	428	
Hogan JM	428	
Hollar J	428	
Horisberger R	428	
Hortiangtham A	428	
Hu Z	428	
Ignatenko M	428	
Ille B	428	
Innocente V	428	
Ivanov Y	428	
Jafari A	428	
Jensen F	428	
Jessop C	428	
Kaadze K	428	
Kachanov V	428	
Kaestli HC	428	
Kalsi AK	428	
Karancsi J	428	
Karapostoli G	428	
Karneyeu A	428	
Keshri S	428	
Kim GN	428	
Kim V	428	
Kiminsu U	428	
Kirakosyan M	428	
Kirsanov M	428	
Klanner R	428	
Kleinwort C	428	
Kogler R	428	
Kolberg T	428	
Komm M	428	
Konecki M	428	
Konstantinov D	428	
Korytov A	428	
Kotlinski D	428	
Kovac M	428	
Kovalskyi D	428	
Krasnikov N	428	
Kreczko L	428	
Kress T	428	
Krintiras G	428	
Krofcheck D	428	
Krolikowski J	428	
Krutelyov V	428	
Kunori S	428	
Kwok KHM	428	
Kyriacou S	428	
Kyriakis A	428	
Lamichhane K	428	
Lammel S	428	
Lanaro A	428	
Lander R	428	
Lange D	428	
Lange W	428	
Langenegger U	428	
Lassila-perini K	428	
Ledovskoy A	428	
Lehti S	428	
Lemaitre V	428	
Leonardo N	428	
Lethuillier M	428	
Letts J	428	
Levchuk L	428	
Liko D	428	
Lin W	428	
