NR,AU,AUNR
n129,"Parra Charris, Juan S.",2.0
n129,"Parra Charris, Andres E.",3.0
n129,"Villa Zuluaga, Daniel F.",4.0
n130,"Fuentes Mancipe, Monica Maria",1.0
n130,"Hernandez Rodriguez, Ivan Dario",2.0
n131,"Idarraga Moreno, Sara Daniela",1.0
n131,"Ochoa-Duarte, Alexei",2.0
n131,"Leon Rojas, Andres Leonardo",3.0
n132,"Florez, Luz A.",1.0
n132,"Granda, Catalina",2.0
n133,"Hoyos Rondon, David Andres",1.0
n133,"Baquero Castellanos, Silvia",2.0
n133,"Mueller, Oliver",3.0
n134,"Cubides Cardenas, Jaime",1.0
n134,"Sierra Zamora, Paola Alexandra",2.0
n134,"Mejia Azuero, Jean Carlo",3.0
n135,"Bibliowicz, Azriel",1.0
n136,"Yasmin Montano-Chinchilla, Claudia",1.0
n136,"Martin Molina-Escobar, Jorge",2.0
n136,"Oswaldo Suarez-Burgoa, Ludger",3.0
n136,"de Jesus Ceballos-Guerra, Elkin",4.0
n137,"Martinez, Efren",1.0
n137,"Scoppetta, Orlando",2.0
n137,"Castano, Guillermo",3.0
n137,"Martin, Andres",4.0
n137,"Perez Gomez, Augusto",5.0
n138,"Tamayo-Agudelo, William",1.0
n138,"Alejandra Agudelo-Cardona, Yuly",2.0
n138,"Maria Castrillon-Suarez, Ana",3.0
n139,"Bocanegra Acosta, Henry",1.0
n139,"Carvajal Martinez, Jorge Enrique",2.0
n140,"Navarro Roldan, Claudia Patricia",1.0
n140,"Corredor Aristizabal, Javier",2.0
n141,"Woolcott Oyague, Olenka",1.0
n141,"Monje Mayorca, Diego",2.0
n142,"Hernandez Zapata, Edwin Alexander",1.0
n142,"Gomez Angel, Jose Manuel",2.0
n143,"Baquero Castellanos, Silvia",1.0
n143,"Lucila Gallo, Alba",2.0
n143,"Muller, Oliver",3.0
n144,"Ramirez Gil, Aura Andrea de los Angeles",1.0
n145,"Urrea Mora, Fanny Consuelo",1.0
n145,"Pinilla Alfonso, Maria Yaneth",2.0
n146,"Uribe-Jongbloed, Enrique",1.0
n146,"Aguilar Rodriguez, Daniel",2.0
n146,"Suarez, Fernando",3.0
n147,"Ortega-Perez, Stefany",1.0
n147,"Consuelo Amaya-Rey, Maria",2.0
n148,"Hernandez Madronero, Isabella",1.0
n148,"Londono-Cardozo, Jose",2.0
n148,"Silva Mazo, Laura M.",3.0
n148,"Becerra Ramirez, Laura",4.0
n149,"Almonacid Sierrra, Juan Jorge",1.0
n149,"Coronel Avila, Yeisson",2.0
n150,"Toro, Vladimir",1.0
n150,"Baron-Prada, Eder",2.0
n150,"Mojica-Nava, Eduardo",3.0
n151,"Mendivelso, Juan",1.0
n151,"Niquefa, Rafael",2.0
n151,"Pinzon, Yoan",3.0
n151,"Hernandez, German",4.0
n152,"Rojas Barbosa, Sonia",1.0
n152,"Molano Mendoza, Juan Carlos",2.0
n152,"Cramer, Thomas",3.0
n153,"Rueda Gomez, Sergio Armando",1.0
