NR,AU,AUNR
n1562,"Arango Sanchez, Juan Fernando",1.0
n1562,"Rubio-Rodriguez, Gustavo Adolfo",2.0
n1563,"Agudelo Rendon, M.",1.0
n1563,"Naranjo, J.",2.0
n1563,"Ramirez, R.",3.0
n1563,"Rueda, D.",4.0
n1563,"Villareal, R.",5.0
n1564,"Carlos Acevedo-Gonzalez, Juan",1.0
n1564,"Lucia Salamanca-Ternera, Maria",2.0
n1565,"Jaimes Valencia, Mary Luz",1.0
n1565,"Pereira Moreno, Daniela",2.0
n1565,"Pedraza Acosta, Alexandra Jimena",3.0
n1565,"Carvajal Cardenas, Karol Xiomara",4.0
n1565,"Mejia Rondon, Fredy Jose",5.0
n1565,"Aparicio Diaz, Laura Andrea",6.0
n1565,"Robles Carreno, Martha Isabel",7.0
n1566,"Valbuena Duarte, Sonia",1.0
n1566,"Conde Carmona, Robinson Junior",2.0
n1566,"Padilla Escorcia, Ivan Andres",3.0
n1567,"Duarte-Herrera, Lisbeth K.",1.0
n1567,"Pedraza-Beleno, Jose A.",2.0
n1568,"Mejia de Beldjenna, Liliana",1.0
n1568,"Llano, Juliana",2.0
n1568,"Mejia, Jose",3.0
n1568,"Centeno, Maria",4.0
n1569,"Monsalve-Escudero, Laura Milena",1.0
n1569,"Loaiza-Cano, Vanessa",2.0
n1569,"Zapata-Cardona, Maria Isabel",3.0
n1569,"Quintero-Gil, Diana Carolina",4.0
n1569,"Hernandez-Mira, Estiven",5.0
n1569,"Pajaro-Gonzalez, Yina",6.0
n1569,"Oliveros-Diaz, Andres Felipe",7.0
n1569,"Diaz-Castillo, Fredyc",8.0
n1569,"Quinones, Wiston",9.0
n1569,"Robledo, Sara",10.0
n1569,"Martinez-Gutierrez, Marlen",11.0
n1570,"Garcia-Padilla, Pilar",1.0
n1570,"Ordonez Reyes, Camila",2.0
n1570,"Medina, Paola",3.0
n1570,"Fernandez Deaza, Ginna",4.0
n1570,"Lucia Morales, Olga",5.0
n1570,"Murillo, Raul",6.0
n1571,"Pinzon Martin, Sandra Milena",1.0
n1571,"Fierro Medina, Ricardo",2.0
n1571,"Iregui Castro, Carlos Arturo",3.0
n1571,"Rivera Monroy, Zuly Jenny",4.0
n1571,"Garcia Castaneda, Javier Eduardo",5.0
n1572,"Margarita Forero, Laura",1.0
n1572,"Rodriguez Sanchez, Martha Patricia",2.0
n1572,"Mendez Castillo, Efrain",3.0
n1572,"Medina Ch, Ana Maria",4.0
n1573,"Abello, Virginia",1.0
n1573,"Sossa, Claudia",2.0
n1573,"Omana, Paola",3.0
n1573,"Mauricio Galvez, Kenny",4.0
n1573,"Alberto Pardo, Carlos",5.0
n1573,"Osuna, Monica",6.0
n1573,"Maria Pena, Angela",7.0
n1573,"Antonio Salazar, Luis",8.0
n1573,"Ines Jimenez, Sara",9.0
n1573,"Helena Solano, Maria",10.0
n1573,"Patricia Casas, Claudia",11.0
n1573,"Daniel, Espinosa",12.0
n1573,"Chaparro, Mauricio",13.0
n1573,"Linares, Adriana",14.0
n1573,"Estupinan, Marcela",15.0
n1573,"Patino, Bonell",16.0
n1573,"Prchal, Josef T.",17.0
n1574,"Molano Bustacara, Alejandra",1.0
n1574,"Cuellar Saavedra, Jose Edwin",2.0
n1574,"Perez Jimenez, Miguel Angel",3.0
n1575,"Pastrana Pardo, Manuel Alejandro",1.0
n1575,"Cifuentes Calderon, Fernando Andres",2.0
n1575,"Ordonez Eraso, Hugo Armando",3.0
n1576,"Navia Lopez, Angela",1.0
n1576,"Armando Hernandez, Romel",2.0
n1577,"Londono Arredondo, Nora Helena",1.0
n1577,"Suarez Monsalve, Luisa Fernanda",2.0
n1577,"Restrepo Restrepo, Yamile",3.0
n1577,"Amaya Montoya, Yeisiri",4.0
n1577,"Alexander Martinez, Yonathan",5.0
n1577,"Torres Castro, Damaris",6.0
n1577,"Pena Cordero, Yolmer Daniel",7.0
n1577,"Agudelo Cifuentes, Maite Catalina",8.0
n1578,"Sanchez, Alejandra Robles",1.0
n1578,"Pineda, Jose Ernesto Mancera",2.0
n1578,"Casas, Xavier Marquinez",3.0
n1578,"Calderon, Jairo Humberto Medina",4.0
n1579,"Florez-Sarmiento, Cristian",1.0
n1579,"Pana-Izquierdo, Viviana",2.0
n1579,"Bautista-Molano, Wilson",3.0
n1579,"Chamorro-Melo, Magaly",4.0
n1579,"Beltran-Ostoss, Adriana",5.0
n1579,"Alejandro Jaimes, Diego",6.0
n1579,"Ramos-Casallas, Alejandro",7.0
n1579,"Acero-M, Diana",8.0
n1579,"Bello-Gualtero, J. M.",9.0
n1579,"Gutierrez, Jaiber",10.0
n1579,"Pacheco-Tena, Cesar",11.0
n1579,"Chalem-Choueka, Philippe",12.0
n1579,"Romero-Sanchez, Consuelo",13.0
n1580,"Rodriguez-Martinez, Carlos E.",1.0
n1580,"Acuna-Cordero, Ranniery",2.0
n1580,"Sossa-Briceno, Monica P.",3.0
n1581,"Mendoza, Cristhian",1.0
n1581,"de Farias, Marcio Muniz",2.0
n1582,"Parody Rua, E.",1.0
n1582,"Vasquez Vera, A. F.",2.0
n1583,"Bolanos Motta, Jose Ignacio",1.0
n1583,"Daza Monras, Yamile Andrea",2.0
n1583,"Rivera Barrios, Kendy Viviana",3.0
n1584,"de la Puente Pacheco, Mario Alberto",1.0
n1584,"de Oro Aguado, Carlos Mario",2.0
n1584,"Lugo Arias, Elkyn",3.0
n1584,"Rico, Heidy",4.0
n1584,"Cifuentes, Diana",5.0
n1585,"Valencia Ochoa, Guillermo",1.0
n1585,"Isaza-Roldan, Cesar",2.0
n1585,"Duarte Forero, Jorge",3.0
n1586,"Escarraga, A.",1.0
n1586,"Toro, A.",2.0
n1586,"Aguilar, Y.",3.0
n1586,"Caicedo, J. C.",4.0
n1586,"Zambrano, G.",5.0
n1587,"Parra-Saavedra, Miguel",1.0
n1587,"Villa-Villa, Isis",2.0
n1587,"Perez-Olivo, Jose",3.0
n1587,"Guzman-Polania, Leidy",4.0
n1587,"Galvis-Centurion, Pablo",5.0
n1587,"Cumplido-Romero, Alvaro",6.0
n1587,"Santacruz-Vargas, Dario",7.0
n1587,"Rivera-Moreno, Eliana",8.0
n1587,"Molina-Giraldo, Saulo",9.0
n1587,"Guillen-Burgos, Hernan",10.0
n1587,"Navarro, Edgar",11.0
n1587,"Florez-Lozano, Karen",12.0
n1587,"Barrero-Ortega, Amanda",13.0
n1587,"Sanz-Cortes, Magdalena",14.0
n1587,"Miranda, Jezid",15.0
n1588,"Leyva-Townsend, Pamela",1.0
n1588,"Rodriguez, Wilson",2.0
n1588,"Idrovo, Sandra",3.0
n1588,"Pulga, Fredy",4.0
n1589,"Zenkiewicz, Maciej",1.0
n1590,"Juliao-Rossi, Jorge",1.0
n1590,"Schmutzler, Jana",2.0
n1590,"Forero-Pineda, Clemente",3.0
n1591,"Barba-Ortega, Jose",1.0
n1591,"Joya, Miryam R.",2.0
n1591,"Sardella, Edson",3.0
n1592,"Camacho, Sandra",1.0
n1592,"Maldonado, Norman",2.0
n1592,"Bustamante, Juan",3.0
n1592,"Llorente, Blanca",4.0
n1592,"Cueto, Enriqueta",5.0
n1592,"Cardona, Fabian",6.0
n1592,"Arango, Carlos",7.0
n1593,"Trujillo Agudelo, Daniela",1.0
n1593,"Ramirez Quintero, Juan D.",2.0
n1593,"Arango Barrientos, Marcos",3.0
n1594,"Ines Aramburo-Siegert, Clara",1.0
n1594,"Montoya-Arango, Vladimir",2.0
n1594,"Maria Tobon-Giraldo, Diana",3.0
n1594,"Camilo Portela-Garcia, Juan",4.0
n1595,"Vargas-Pinto, Piero",1.0
n1595,"Galindo, Vladimir",2.0
n1595,"Pedraza-Toscano, Adriana",3.0
n1595,"Vargas-Pinto, Pedro",4.0
n1596,"Diez-Sepulveda, Julio C.",1.0
n1596,"Uribe-Buritica, Francisco L.",2.0
n1596,"Angel-Isaza, Ana Maria",3.0
n1596,"Bustamante-Cristancho, Luis Alfonso",4.0
n1596,"Mejia-Herrera, Felipe",5.0
n1596,"Watts-Pajaro, Fredy A.",6.0
n1596,"Rojas-Martinez, Maurix Fernando",7.0
n1597,"Gutierrez Pua, Lizeth Del Carmen",1.0
n1597,"Bruges Martinez, Loraine Stephany",2.0
n1597,"Fonseca Reyes, Ana Maria",3.0
n1597,"Paredes Mendez, Virginia Nathaly",4.0
n1598,"Pino, Luis",1.0
n1598,"Perez, Carlos",2.0
n1598,"Cardona, Andres",3.0
n1598,"Triana, Ivan",4.0
n1599,"Lopez, J. D.",1.0
n1599,"Diosa, J. E.",2.0
n1599,"Correa, H.",3.0
n1600,"Montealegre-Pomar, Adriana del Pilar",1.0
n1600,"Charpak, Nathalie",2.0
n1601,"Urrego-Callejas, Tomas",1.0
n1601,"Felipe Soto-Restrepo, Juan",2.0
n1601,"Sandoval-Alvarez, Simon",3.0
n1601,"Chvatal-Medina, Mateo",4.0
n1601,"Gomez, Rodolfo",5.0
n1601,"Vasquez, Gloria",6.0
n1602,"Suarez, L. M.",1.0
n1602,"Montoya, A. F.",2.0
n1602,"Velez, J., I",3.0
n1603,"Camilo Paz, Juan",1.0
n1603,"Rozenboim, David",2.0
n1603,"Cuadros, Alvaro",3.0
n1603,"Cano, Sandra",4.0
n1603,"Willmer Escobar, John",5.0
n1604,"Yaguna, Carlos E.",1.0
n1604,"Zapata, Oscar",2.0
n1605,"Carrillo, Julian",1.0
n1605,"Lozano, Harold",2.0
n1605,"Arteta, Carlos",3.0
n1606,"Parra, A.",1.0
n1606,"Serrano, C.",2.0
n1606,"Damato, M.",3.0
n1606,"Uribe, A.",4.0
n1606,"Garcia, M.",5.0
n1606,"Valencia, E.",6.0
n1606,"Palacios, M.",7.0
n1607,"David Santa, Juan",1.0
n1607,"Berdugo-Cely, Jhon",2.0
n1607,"Cely-Pardo, Liliana",3.0
n1607,"Soto-Suarez, Mauricio",4.0
n1607,"Mosquera, Teresa",5.0
n1607,"Galeano M, Carlos H.",6.0
n1608,"Arcila-Galvis, Juliana E.",1.0
n1608,"Arango, Rafael E.",2.0
n1608,"Torres-Bonilla, Javier M.",3.0
n1608,"Arias, Tatiana",4.0
n1609,"Hernandez-Comas, Brando",1.0
n1609,"Maestre-Cambronel, Daniel",2.0
n1609,"Pardo-Garcia, Carlos",3.0
n1609,"Del Socorro Fonseca-Vigoya, Marlen",4.0
n1609,"Pabon-Leon, Jhon",5.0
n1610,"Chaparro-Olaya, J.",1.0
n1610,"De Avila, J.",2.0
n1610,"Bautista-Molano, W.",3.0
n1610,"Morales, L.",4.0
n1610,"Hernandez, P.",5.0
n1610,"Beltran-Ostos, A.",6.0
n1610,"Leon-Falla, M.",7.0
n1610,"Bello-Gualtero, J. M.",8.0
n1610,"Ramos-Casallas, A.",9.0
n1610,"Acero-M, D.",10.0
n1610,"Florez, C.",11.0
n1610,"Pacheco Tena, C. F.",12.0
n1610,"Parra-Izquierdo, V.",13.0
n1610,"Chamorro-Melo, Y. M.",14.0
n1610,"Romero-Sanchez, C.",15.0
n1611,"Pinzon, Miguel Alejandro",1.0
n1611,"Ortiz, Santiago",2.0
n1611,"Holguin, Hector",3.0
n1611,"Betancur, Juan Felipe",4.0
n1611,"Arango, Doris Cardona",5.0
n1611,"Laniado, Henry",6.0
n1611,"Arias, Carolina Arias",7.0
n1611,"Munoz, Bernardo",8.0
n1611,"Quiceno, Julian",9.0
n1611,"Jaramillo, Daniel",10.0
n1611,"Ramirez, Zoraida",11.0
n1612,"Cortes, Farid B.",1.0
n1612,"Zapata, Karol",2.0
n1612,"Rojano, Benjamin A.",3.0
n1612,"Carrasco-Marin, Francisco",4.0
n1612,"Gallego, Jaime",5.0
n1612,"Alejandra Hernandez, M.",6.0
n1612,"Franco, Camilo A.",7.0
n1613,"Morros-Gonzalez, Elly",1.0
n1613,"Gomez, Ana Maria",2.0
n1613,"Carrillo, Diana Cristina Henao",3.0
n1613,"Ursida, Valentina",4.0
n1613,"Serrano, Sergio",5.0
n1613,"Sepulveda, Martin Alonso Rondon",6.0
n1613,"Velandia, Oscar Mauricio Munoz",7.0
n1614,"Olivera, Mario J.",1.0
n1614,"Palencia-Sanchez, Francisco",2.0
n1614,"Riano-Casallas, Martha",3.0
n1615,"Bejarano, Diego",1.0
n1615,"Martinez, Rodrigo",2.0
n1615,"Manrique, Carlos",3.0
n1615,"Miguel Parra, Luis",4.0
n1615,"Felipe Rocha, Juan",5.0
n1615,"Gomez, Yolanda",6.0
n1615,"Abuabara, Yesid",7.0
n1615,"Gallego, Jaime",8.0
n1616,"Maria Gutierrez-Coba, Liliana",1.0
n1616,"Coba-Gutierrez, Patricia",2.0
n1616,"Andres Gomez-Diaz, Javier",3.0
n1617,"Cano Londono, Natalia A.",1.0
n1617,"Velasquez, Hector, I",2.0
n1617,"McIntyre, Neil",3.0
n1618,"Torres-Contreras, C. C.",1.0
n1618,"Paez-Esteban, A. N.",2.0
n1618,"Hinestrosa-Diaz del Castillo, A.",3.0
n1618,"Rincon-Romero, M. K.",4.0
n1618,"Amaris-Vega, A.",5.0
n1618,"Martinez-Patino, J. P.",6.0
n1619,"Andres Montoya-Arenas, David",1.0
n1619,"Camilo Aguirre-Acevedo, Daniel",2.0
n1619,"Diaz Soto, Cecilia Maria",3.0
n1619,"Pineda Salazar, David Antonio",4.0
n1620,"Alejandro Granados, Camilo",1.0
n1620,"Enrique Rojas, Herbert",2.0
n1620,"Santamaria, Francisco",3.0
n1621,"Supelano, G., I",1.0
n1621,"Martinez Buitrago, D.",2.0
n1621,"Mejia Gomez, J. A.",3.0
n1621,"Parra Vargas, C. A.",4.0
n1621,"Albino Aguiar, J.",5.0
n1622,"Luquetti, D., V",1.0
n1622,"Timms, A. E.",2.0
n1622,"Hurtado, P. M.",3.0
n1622,"Zarante, I. M.",4.0
n1622,"Porras, G. L.",5.0
n1622,"Duenas-Roque, M. M.",6.0
n1622,"Ayala-Ramirez, P.",7.0
n1622,"Pachajoa, H. M.",8.0
n1622,"Acosta, M. A. A.",9.0
n1623,"Luisana, Molina",1.0
n1623,"Juan, Salgado",2.0
n1623,"Sandra, Amado",3.0
n1624,"Sanandres, Eliana",1.0
n1624,"Madariaga, Camilo",2.0
n1624,"Avila, Jose",3.0
n1625,"Vega, Felix",1.0
n1625,"Rachidi, Farhad",2.0
n1626,"Vallejo, Katherine",1.0
n1626,"Tapias, Jose",2.0
n1626,"Arroyave, Ivan",3.0
n1627,"Lesmes Parra, Maria Camila",1.0
n1627,"Morera Gonzalez, Stefany",2.0
n1627,"Salamanca Garcia, Jose Alejandro",3.0
n1628,"Acero, Mario A.",1.0
n1628,"Aguilar-Arevalo, Alexis A.",2.0
n1628,"Polo-Toledo, Dairo J.",3.0
n1629,"Segovia-Chaves, Francis",1.0
n1629,"Vinck-Posada, Herbert",2.0
n1629,"Navarro-Baron, Erik",3.0
n1630,"Sossa Melo, Claudia Lucia",1.0
n1630,"Machado, Carlos",2.0
n1630,"Ines Jimenez, Sara",3.0
n1630,"Rosales, Manuel",4.0
n1630,"Pena Castelllanos, Angela Maria",5.0
n1630,"Salazar, Luis",6.0
n1630,"Ochoa Vera, Miguel Enrique",7.0
n1630,"Ardila, Manuel",8.0
n1630,"Sandoval, Jenifer",9.0
n1630,"Garay, Jenifer",10.0
n1631,"Munoz Giraldo, Viviana",1.0
n1631,"Duque, Andres",2.0
n1631,"Giraldo Aristizabal, Astrid",3.0
n1631,"Manrique Hernandez, Ruben Dario",4.0
n1632,"Buelvas-Puello, Luis Miguel",1.0
n1632,"Franco-Arnedo, Gabriela",2.0
n1632,"Martinez-Correa, Hugo A.",3.0
n1632,"Ballesteros-Vivas, Diego",4.0
n1632,"Sanchez-Camargo, Andrea del Pilar",5.0
n1632,"Miranda-Lasprilla, Diego",6.0
n1632,"Narvaez-Cuenca, Carlos-Eduardo",7.0
n1632,"Parada-Alfonso, Fabian",8.0
n1633,"Cardenas, Gina",1.0
n1633,"Vargas, Andres",2.0
n1633,"Diaz, David",3.0
n1634,"Escobar Yonoff, Rony",1.0
n1634,"Ochoa, Guillermo Valencia",2.0
n1634,"Cardenas-Escorcia, Yulineth",3.0
n1634,"Ivan Silva-Ortega, Jorge",4.0
n1634,"Merino-Stand, Lourdes",5.0
n1635,"Guarnizo-Herreno, Carol C.",1.0
n1635,"Watt, Richard G.",2.0
n1635,"Garzon-Orjuela, Nathaly",3.0
n1635,"Tsakos, Georgios",4.0
n1636,"Sierra, Julieth A.",1.0
n1636,"Likhite, Shibi",2.0
n1636,"Echeverria, Luis E.",3.0
n1636,"Guio, Elizabeth",4.0
n1636,"Vargas, Clara",5.0
n1636,"Serrano, Norma C.",6.0
n1636,"Meyer, Kathrin",7.0
n1636,"Rincon, Melvin Y.",8.0
n1637,"Ivan Quintero, Oscar",1.0
n1637,"Ignacio Sanchez, Alvaro",2.0
n1637,"Andrea Chavarro, Paola",3.0
n1637,"Cristina Casas, Isabel",4.0
n1637,"Ospina Tascon, Gustavo Adolfo",5.0
n1638,"Perez Archila, Luis Miguel",1.0
n1638,"David Bastidas-Rodriguez, Juan",2.0
n1638,"Correa, Rodrigo",3.0
n1638,"Trejos Grisales, Luz Adriana",4.0
n1638,"Gonzalez-Montoya, Daniel",5.0
n1639,"Trochez, J. C.",1.0
n1639,"Camargo, J. L.",2.0
n1639,"Pineres, I",3.0
n1639,"Landinez Tellez, D. A.",4.0
n1640,"Bravo M, Diego A.",1.0
n1640,"Rengifo Rodas, Carlos F.",2.0
n1641,"Mejia de Beldjenna, Liliana",1.0
n1641,"Matallana, Audrey",2.0
n1642,"Giraldo, Marta Lucia",1.0
n1642,"Tobon, Daniel Jeronimo",2.0
n1643,"Manuel Lozano, Jose",1.0
n1643,"Rodriguez Parra, Zully",2.0
n1643,"Hernandez-Martinez, Salvador",3.0
n1643,"Fernanda Yasnot-Acosta, Maria",4.0
n1643,"Patricia Rojas, Angela",5.0
n1643,"Stella Marin-Waldo, Luz",6.0
n1643,"Edilberto Rincon, Juan",7.0
n1644,"Zapata Acosta, Karol",1.0
n1644,"Carrasco-Marin, Francisco",2.0
n1644,"Cortes, Farid B.",3.0
n1644,"Franco, Camilo A.",4.0
n1644,"Lopera, Sergio H.",5.0
n1644,"Rojano, Benjamin A.",6.0
n1645,"Parra, Mauricio",1.0
n1645,"Ospina Perez, Christian",2.0
n1645,"Ospina Perez, Rosa",3.0
n1645,"Lozada Martinez, Ivan",4.0
n1645,"Jimenez Valverde, Jennifer",5.0
n1645,"Bolano Romero, Maria",6.0
n1646,"William Martinez, Jose",1.0
n1646,"Martinez, Juan Camilo",2.0
n1646,"Alejandro Rincon, Diego",3.0
n1646,"Alejandro Salazar, Diego",4.0
n1646,"Daniel Castrillon, Juan",5.0
n1646,"del Pilar Gomez, Maria",6.0
n1646,"Suarez Brochero, Oscar Felipe",7.0
n1646,"Pablo Velez, Juan",8.0
n1646,"Maria Valencia, Angela",9.0
n1646,"Gomez, Sandra",10.0
n1646,"Rincon Hurtado, Angel Maria",11.0
n1647,"Correa-Alvarez, Ender M.",1.0
n1647,"Leon-Pacheco, Rommel, I",2.0
n1647,"Lobato-Ureche, Miguel A.",3.0
n1647,"Garcia-Davila, Mario A.",4.0
n1647,"Munoz-Perea, Carlos G.",5.0
n1647,"Aramendiz-Tatis, Hermes",6.0
n1648,"Parra-Medina, Rafael",1.0
n1648,"Moreno-Lucero, Paula",2.0
n1648,"Jimenez-Moreno, Julian",3.0
n1648,"Maria Parra-Morales, Alejandra",4.0
n1648,"Romero-Rojas, Alfredo",5.0
n1649,"Martinez-Vidal, Eduardo",1.0
n1649,"Hurtado-Gil, Sandra V.",2.0
n1650,"Sanchez-Rodriguez, Norha E.",1.0
n1650,"Castano, Jorge A.",2.0
n1650,"Giraldo-Davila, Deisy",3.0
n1650,"Tabares, Jesus A.",4.0
n1650,"Combariza, Marianny Y.",5.0
n1650,"Perez, German",6.0
n1650,"Henao, Jose A.",7.0
n1650,"Galarza, Esperanza",8.0
n1650,"Chaur, Manuel N.",9.0
n1651,"Cortes, Diana A.",1.0
n1651,"Roca, Daniela",2.0
n1651,"Navarro, Pedro Ivan",3.0
n1651,"Rodriguez, Francisco J.",4.0
n1652,"Lorena Cadavid, Diana",1.0
n1652,"Salazar Serna, Kathleen",2.0
n1652,"Valencia Arias, Alejandro",3.0
n1652,"Jaime Franco, Carlos",4.0
n1653,"Buitrago Rey, Nicolas Eduardo",1.0
n1654,"Sanabria, Alvaro",1.0
n1654,"Sanchez, Daniel",2.0
n1654,"Chala, Andres",3.0
n1654,"Alvarez, Andres",4.0
n1655,"Olarte-Avellaneda, Sergio",1.0
n1655,"Cepeda Del Castillo, Jacobo",2.0
n1655,"Felipe Rojas-Rodriguez, Andres",3.0
n1655,"Sanchez, Oscar",4.0
n1655,"Rodriguez-Lopez, Alexander",5.0
n1655,"Suarez Garcia, Diego A.",6.0
n1655,"Salazar Pulido, Luz Mary",7.0
n1655,"Almeciga-Diaz, Carlos J.",8.0
n1656,"Horta Gaviria, Carolina Maria",1.0
n1657,"Cruz-Carrizales, Camilo-Andres",1.0
n1657,"Bautista-Rojas, Luis-Eduardo",2.0
n1657,"Pedraza-Ferreira, Gabriel-Rodrigo",3.0
n1658,"Angela Cuellar, Luz",1.0
n1658,"Johana Reyes, Nini",2.0
n1658,"Reynaldo Carreno, Juan",3.0
n1659,"Benitez-R, Vicente F.",1.0
n1660,"Gonzalez, Sebastian Alejandro",1.0
n1660,"Garavito, Maria Clara",2.0
n1661,"Perez Pinzon, Luis Ruben",1.0
n1662,"Jimenez Aguilar, Carlos M.",1.0
n1662,"Thoene, Ulf",2.0
n1663,"Ayala Tovar, Laura",1.0
n1664,"Barreto Henriques, Miguel",1.0
n1665,"Eraso Jurado, Monica",1.0
n1666,"Esteban Unigarro, Daniel",1.0
n1666,"van der Linde, Carlos-German",2.0
n1667,"Herrera, Gregory Quiroga",1.0
n1668,"Lizarazo Vega, Sergio Fabian",1.0
n1669,"Marina Rivas, Luz",1.0
n1670,"Real Ramos, Yenny Andrea",1.0
n1670,"Guillermo Yunda, Juan",2.0
n1671,"Rodriguez Suarez, Miguel Antonio",1.0
n1672,"Ignacio Medina-Labrador, Manuel",1.0
n1672,"Garcia Vargas, Gustavo",2.0
n1673,"Rodriguez Lopez, Cielo Margarita",1.0
n1673,"Lopez Juvinao, Danny Daniel",2.0
n1673,"Moya Camacho, Fabio Orlando",3.0
n1674,"Ovalle Neira, Jennyfer",1.0
n1674,"Pineda Vargas, Amy Daniela",2.0
n1674,"Salas Ortega, Elibeth",3.0
n1674,"Enriquez Sierra, Hernan Dario",4.0
n1675,"Rivera Joven, Angie",1.0
n1675,"Roa Peralta, Luigi",2.0
n1675,"Sanchez Rojas, Isabel",3.0
n1675,"Mendoza, Dario",4.0
n1676,"Mejia-Ciraldo, Juan F.",1.0
n1677,"Garcia-Diaz, Cesar",1.0
n1678,"Mora, C.",1.0
n1678,"Beltran, A.",2.0
n1678,"Rincon, J.",3.0
n1678,"Astudillo, Y.",4.0
n1678,"Franco, M.",5.0
n1678,"Garcia, C.",6.0
n1678,"Jaimes, D.",7.0
n1679,"Molina Morales, Guillermo",1.0
n1680,"Parra Castrillon, Jose Eucario",1.0
n1681,"Sebastian Correa-Delgado, Juan",1.0
n1682,"Torres Vergel, Frak",1.0
n1683,"Andres Gomez-Soto, James",1.0
n1683,"Julian Sanchez-Toro, Oscar",2.0
n1683,"Geronimo Matallana-Perez, Luis",3.0
n1684,"Davila, Johnny A.",1.0
n1685,"Gomez Vega, Juan Carlos",1.0
n1685,"Henao, Sara",2.0
n1685,"Mancera Perez, Juliana",3.0
n1685,"Feo Lee, Oscar Hernando",4.0
n1686,"Henao Carmona, Jenny Alejandra",1.0
n1687,"Marcelo Cavarique-Arias, Laura",1.0
n1687,"Pacheco-Bautista, Marisol",2.0
n1687,"Martinez-Chima, Liliana",3.0
n1688,"Ramirez Lopez, Gloria Patricia",1.0
n1689,"Alzate, Carolina",1.0
n1690,"Ariza Ariza, Nectali",1.0
n1691,"Molina Morales, Guillermo",1.0
n1692,"Naismith, Iona",1.0
n1692,"Duran Ferro, Camilo",2.0
n1692,"Ingram, Gordon",3.0
n1692,"Jimenez Leal, William",4.0
n1693,"Pita Pico, Roger",1.0
n1694,"Sanchez Calderon, Fabio Vladimir",1.0
n1695,"Escobar Triana, Jaime",1.0
n1696,"Carlos Pedrozo-Pupo, John",1.0
n1696,"Campo-Arias, Adalberto",2.0
n1696,"De La Torre, Hector",3.0
n1697,"Jimenez-Castillo, Manuel A.",1.0
n1698,"Nino Arteage, Yesid",1.0
n1699,"Becerra, Nelci",1.0
n1699,"Garcia-Padilla, Pilar",2.0
n1700,"Carlos Reyes, Luis",1.0
n1701,"Husain-Talero, Soraya",1.0
n1702,"Lucia Vargas, Sandra",1.0
n1702,"Carolina Cespedas, Diana",2.0
n1702,"David Vergal, Juan",3.0
n1702,"Paola Ruiz, Erika",4.0
n1702,"Camila Luna, Maria",5.0
n1703,"Marten Pere, Elisa Maria",1.0
n1704,"Martinez Velasco, Miguel Angel",1.0
n1705,"Arias-Velandia, Nicolas",1.0
n1705,"Umar Rincon-Baez, William",2.0
n1706,"Castro Castillo, Diana Carolina",1.0
n1706,"Tuay Sigua, Rosa Nidia",2.0
n1707,"Gonzalez Quintero, Diego Alejandro",1.0
n1707,"Diaz Garcia, Ricardo Leon",2.0
n1708,"Ruiz-Pava, Guillermo",1.0
n1708,"Forero-Pineda, Clemente",2.0
n1709,"Torrejano Vargas, Rodrigo",1.0
n1709,"Bocanegra Acosta, Henry",2.0
n1710,"Cruz Medina, Juan Pablo",1.0
n1711,"Denise De-Paula, Claudia",1.0
n1711,"Jarma-Arroyo, Sara",2.0
n1711,"Aramendiz-Tatis, Hermes",3.0
n1712,"Vitery R, Jenny",1.0
n1712,"Ortega, Guillermo",2.0
n1712,"Salazar C, Blanca C.",3.0
n1713,"Cesar Mateus, Julio",1.0
n1713,"Teresa Varela, Maria",2.0
n1713,"Maria Caicedo, Diana",3.0
n1713,"Lucia Arias, Nhora",4.0
n1713,"Deisy Jaramillo, Cruz",5.0
n1713,"Cristina Morales, Liliana",6.0
n1713,"Ines Palma, Gloria",7.0
n1714,"Hoyos, J. D.",1.0
n1714,"Villa-Tamayo, M. F.",2.0
n1714,"Builes-Montano, C. E.",3.0
n1714,"Ramirez-Rincon, A.",4.0
n1714,"Godoy, J. L.",5.0
n1714,"Garcia-Tirado, J.",6.0
n1714,"Rivadeneira, P. S.",7.0
n1715,"Rodriguez, Veronica",1.0
n1715,"Pineda, Hector",2.0
n1715,"Ardila, Natalia",3.0
n1715,"Insuasty, Diego",4.0
n1715,"Cardenas, Karen",5.0
n1715,"Roman, Julieth",6.0
n1715,"Urrea, Maribel",7.0
n1715,"Ramirez, David",8.0
n1715,"Fierro, Ricardo",9.0
n1715,"Rivera, Zuly",10.0
n1715,"Garcia, Javier",11.0
n1716,"Contreras Lopez, William Omar",1.0
n1716,"Navarro, Paula Alejandra",2.0
n1716,"Crispin, Santiago",3.0
n1717,"Sanchez, Jorge",1.0
n1717,"Sanchez, Andres",2.0
n1717,"Cardona, Ricardo",3.0
n1718,"Maldonado-Canon, Kevin",1.0
n1718,"Coral-Alavarado, Paola",2.0
n1718,"Mendez-Patarroyo, Paul",3.0
n1718,"Bautista-Molano, Wilson",4.0
n1718,"Bermudez, Edna",5.0
n1718,"Quintana-Lopez, Gerardo",6.0
n1719,"Marin, J. H.",1.0
n1719,"Gutierrez, W.",2.0
n1719,"Mikhailov, I. D.",3.0
n1720,"Valencia-Arias, Alejandro",1.0
n1720,"Bran Piedrahita, Lemy",2.0
n1720,"Botero Zapata, Alejandra",3.0
n1720,"Benjumea, Martha",4.0
n1720,"Palacios Moya, Lucia",5.0
